Variable,Coef.,Std.Err.,t-Stat,P>|t|,Significance
const,118.8443,322.0382,0.369,0.7128,
self-confidence,0.0073,1.2842,0.0057,0.9955,
creativity,29.4547,22.4626,1.3113,0.1926,
enthusiasm,-7.7442,6.595,-1.1743,0.2429,
future-orientation,-70.4651,42.2896,-1.6663,0.0986,*
trustworthiness,-12.604,16.8212,-0.7493,0.4553,
proactive-personality,10.3382,34.2857,0.3015,0.7636,
num_founders,33.1775,34.8407,0.9523,0.3431,
Priorsharedexperience,-68.4842,113.5699,-0.603,0.5478,
Industryexperience,89.1329,77.8667,1.1447,0.2549,
educationalqualification,68.9404,31.6366,2.1791,0.0315,**
